SA535X4XB05985-A98262A-R04-C17,SA535X4XB05985-A98262A-R06-C09,SA535X4XB05985-A98262A-R07-C30,SA535X4XB05985-A98262A-R08-C07,SA535X4XB05985-A98262A-R09-C15,SA535X4XB05985-A98262A-R09-C25,SA535X4XB05985-A98262A-R09-C29,SA535X4XB05985-A98262A-R10-C24,SA535X4XB05985-A98262A-R11-C13,SA535X4XB05985-A98262A-R12-C44,SA535X4XB05985-A98262A-R13-C12,SA535X4XB05985-A98262A-R13-C15,SA535X4XB05985-A98262A-R14-C16,SA535X4XB05985-A98262A-R14-C21,SA535X4XB05985-A98262A-R16-C30
9_7500001_8000000,5,4,4,3,2,7,4,4,4,4,4,4,3,3,4
9_8000001_8500000,5,4,4,3,2,7,4,4,4,4,4,4,3,3,4
9_8500001_9000000,5,4,4,3,2,7,4,4,4,4,4,4,3,3,4
9_9000001_9500000,5,4,4,3,2,7,4,4,4,4,4,4,3,3,4
9_9500001_10000000,5,4,4,3,2,7,4,4,4,4,4,4,3,3,4
9_10000001_10500000,5,4,4,3,2,7,4,4,4,4,4,4,3,3,4
9_10500001_11000000,5,4,4,3,2,7,4,4,4,4,4,4,3,3,4
9_11000001_11500000,5,4,4,3,2,7,4,4,4,4,4,4,3,3,4
9_11500001_12000000,5,4,4,3,2,7,4,4,4,4,4,4,3,3,4
9_12000001_12500000,5,4,4,3,2,7,4,4,4,4,4,4,3,3,4
9_12500001_13000000,5,4,4,3,2,7,4,4,4,4,4,4,3,3,4
9_13000001_13500000,5,4,4,3,2,7,4,4,4,4,4,4,3,3,4
9_13500001_14000000,5,4,4,3,2,7,4,4,4,4,4,4,3,3,4
9_14000001_14500000,5,4,4,3,2,7,4,4,4,4,4,4,3,3,4
9_14500001_15000000,5,4,4,3,2,7,4,4,4,4,4,4,3,3,4
9_15000001_15500000,5,4,4,3,2,7,4,4,4,4,4,4,3,3,4
9_15500001_16000000,5,4,4,3,2,7,4,4,4,4,4,4,3,3,4
9_16000001_16500000,5,4,4,3,2,7,4,4,4,4,4,4,3,3,4
9_16500001_17000000,5,4,4,3,2,7,4,4,4,4,4,4,3,3,4
9_17000001_17500000,5,4,4,3,2,7,4,4,4,4,4,4,3,3,4
9_18000001_18500000,5,4,4,3,2,7,4,4,4,4,4,4,3,3,4
9_18500001_19000000,5,4,4,3,2,7,4,4,4,4,4,4,3,3,4
9_19000001_19500000,5,4,4,3,2,7,4,4,4,4,4,4,3,3,4
9_20000001_20500000,5,4,4,3,2,7,4,4,4,4,4,4,3,3,4
9_20500001_21000000,5,4,4,3,2,7,4,4,4,4,4,4,3,3,4
9_21000001_21500000,5,4,4,3,2,7,4,4,4,4,4,4,3,3,4
9_21500001_22000000,5,4,4,3,2,7,4,4,4,4,4,4,3,3,4
9_22000001_22500000,5,4,4,3,2,7,4,4,4,4,4,4,3,3,4
9_22500001_23000000,5,4,4,3,2,7,4,4,4,4,4,4,3,3,4
9_23000001_23500000,5,4,4,3,2,7,4,4,4,4,4,4,3,3,4
9_23500001_24000000,5,4,4,3,2,7,4,4,4,4,4,4,3,3,4
9_24000001_24500000,5,4,4,3,2,7,4,4,4,4,4,4,3,3,4
9_24500001_25000000,5,4,4,3,2,7,4,4,4,4,4,4,3,3,4
9_25000001_25500000,5,4,4,3,2,7,4,4,4,4,4,4,3,3,4
9_25500001_26000000,5,4,4,3,2,7,4,4,4,4,4,4,3,3,4
9_26000001_26500000,5,4,4,3,2,7,4,4,4,4,4,4,3,3,4
9_26500001_27000000,5,4,4,3,2,7,4,4,4,4,4,4,3,3,4
9_27000001_27500000,5,4,4,3,2,7,4,4,4,4,4,4,3,3,4
9_27500001_28000000,5,4,4,3,2,7,4,4,4,4,4,4,3,3,4
9_28500001_29000000,5,4,4,3,2,7,4,4,4,4,4,4,3,3,4
9_29000001_29500000,5,4,4,3,2,7,4,4,4,4,4,4,3,3,4
9_29500001_30000000,5,4,4,3,2,7,4,4,4,4,4,4,3,3,4
9_30000001_30500000,5,4,4,3,2,7,4,4,4,4,4,4,3,3,4
9_30500001_31000000,5,4,4,3,2,7,4,4,4,4,4,4,3,3,4
9_31000001_31500000,5,4,4,3,4,7,4,4,4,4,4,4,3,3,4
9_31500001_32000000,5,4,4,3,4,7,4,4,4,4,4,4,3,3,4
9_32000001_32500000,5,4,4,3,4,7,4,4,4,4,4,4,3,3,4
9_32500001_33000000,5,4,4,3,4,7,4,4,4,4,4,4,3,3,4
9_33000001_33500000,5,4,4,3,4,7,4,4,4,4,4,4,3,3,4
9_33500001_34000000,5,4,4,3,4,7,4,4,4,4,4,4,3,3,4
9_34000001_34500000,5,4,4,3,4,7,4,4,4,4,4,4,3,3,4
9_35000001_35500000,5,4,4,3,4,7,4,4,4,4,4,4,3,3,4
9_35500001_36000000,5,4,4,3,3,6,4,4,4,4,4,4,3,3,4
9_36000001_36500000,5,4,4,3,3,6,4,4,4,4,4,4,3,3,4
9_36500001_37000000,5,4,4,3,3,6,4,4,4,4,4,4,3,3,4
9_37000001_37500000,5,4,4,3,3,6,4,4,4,4,4,4,3,3,4
9_37500001_38000000,5,4,4,3,3,6,4,4,4,4,4,4,3,3,4
9_38000001_38500000,5,4,4,3,3,6,4,4,4,4,4,4,3,3,4
9_71000001_71500000,4,4,4,3,4,5,3,4,4,4,4,4,3,3,4
9_71500001_72000000,4,4,4,3,4,5,3,4,4,4,4,4,3,3,4
9_72500001_73000000,4,4,4,3,4,5,3,4,4,4,4,4,3,3,4
9_73500001_74000000,4,4,4,3,4,5,3,4,4,4,4,4,3,3,4
9_74000001_74500000,4,4,4,3,4,5,3,4,4,4,4,4,3,3,4
9_74500001_75000000,4,4,4,3,4,5,3,4,4,4,4,4,3,3,4
9_75000001_75500000,4,4,4,3,4,5,3,4,4,4,4,4,3,3,4
9_75500001_76000000,4,4,4,3,4,5,3,4,4,4,4,4,3,3,4
9_76000001_76500000,4,4,4,3,4,5,3,4,4,4,4,4,3,3,4
9_76500001_77000000,4,4,4,3,4,5,3,4,4,4,4,4,3,3,4
9_77000001_77500000,4,4,4,3,4,5,3,4,4,4,4,4,3,3,4
9_77500001_78000000,4,4,4,3,4,5,3,4,4,4,4,4,3,3,4
9_78000001_78500000,4,4,4,3,4,5,3,4,4,4,4,4,3,3,4
9_78500001_79000000,4,4,4,3,4,5,3,4,4,4,4,4,3,3,4
9_79000001_79500000,4,4,4,3,4,5,3,4,4,4,4,4,3,3,4
9_79500001_80000000,4,4,4,3,4,5,3,4,4,4,4,4,3,3,4
9_80000001_80500000,4,4,4,3,4,5,3,4,4,4,4,4,3,3,4
9_80500001_81000000,4,4,4,3,4,5,3,4,4,4,4,4,3,3,4
9_81000001_81500000,4,4,4,3,4,5,3,4,4,4,4,4,3,3,4
9_81500001_82000000,4,4,4,3,4,5,3,4,4,4,4,4,3,3,4
9_82500001_83000000,4,4,4,3,4,5,3,4,4,4,4,4,3,3,4
9_83500001_84000000,4,4,4,3,4,5,3,4,4,4,4,4,3,3,4
9_84000001_84500000,4,4,4,3,4,5,3,4,4,4,4,4,3,3,4
9_85000001_85500000,4,4,4,3,4,5,3,4,4,4,4,4,3,3,4
9_86000001_86500000,4,4,4,3,4,5,3,4,4,4,4,4,3,3,4
9_86500001_87000000,4,4,4,3,4,5,3,4,4,4,4,4,3,3,4
9_87000001_87500000,4,4,4,3,4,5,3,4,4,4,4,4,3,3,4
9_87500001_88000000,4,4,4,3,4,5,3,4,4,4,4,4,3,3,4
9_88000001_88500000,4,4,4,3,4,5,3,4,4,4,4,4,3,3,4
9_89000001_89500000,4,4,4,3,4,5,3,4,4,4,4,4,3,3,4
9_89500001_90000000,4,4,4,3,4,5,3,4,4,4,4,4,3,3,4
9_90000001_90500000,4,4,4,3,4,5,3,4,4,4,4,4,3,3,4
9_91000001_91500000,4,4,4,3,4,5,3,4,4,4,5,4,3,3,4
9_91500001_92000000,4,4,4,3,4,5,3,4,4,4,5,4,3,3,4
9_93000001_93500000,4,4,4,3,4,5,3,4,4,4,5,4,3,3,4
9_93500001_94000000,4,4,4,3,4,5,3,4,4,4,5,4,3,3,4
9_94000001_94500000,4,4,4,3,4,5,3,4,4,4,5,4,3,3,4
9_95000001_95500000,4,4,4,3,4,5,3,4,4,4,5,4,3,3,4
9_95500001_96000000,4,4,4,3,4,5,3,4,4,4,5,4,3,3,4
9_96000001_96500000,4,4,4,3,4,5,3,4,4,4,5,4,3,3,4
9_97000001_97500000,4,4,4,3,4,5,3,4,4,4,5,4,3,3,4
9_97500001_98000000,4,4,4,3,4,5,3,4,4,4,5,4,3,3,4
9_98500001_99000000,4,4,4,3,4,5,3,4,4,4,5,4,3,3,4
9_99000001_99500000,4,4,4,3,4,5,3,4,4,4,5,4,3,3,4
9_100000001_100500000,4,4,4,3,4,5,3,4,4,5,5,4,3,3,8
9_100500001_101000000,4,4,4,3,4,5,3,4,4,5,5,4,3,3,8
9_101000001_101500000,4,4,4,3,4,5,3,4,4,5,5,4,3,3,5
9_101500001_102000000,4,4,4,3,4,5,3,4,4,5,5,4,3,3,5
9_102000001_102500000,4,4,4,3,4,5,3,4,4,5,5,4,3,3,5
9_102500001_103000000,4,4,4,3,4,5,3,4,4,5,5,4,3,3,5
9_103000001_103500000,4,5,4,3,4,5,3,4,4,5,5,4,3,3,5
9_104000001_104500000,5,5,5,4,5,5,4,6,4,5,6,5,4,3,5
9_105000001_105500000,5,5,5,4,5,5,4,6,4,5,6,5,4,3,5
9_105500001_106000000,5,5,5,4,5,5,4,6,4,5,6,5,4,3,5
9_106000001_106500000,5,5,5,4,5,5,4,6,4,5,6,5,4,3,5
9_106500001_107000000,5,5,5,4,5,5,4,6,4,5,6,5,4,3,5
9_107000001_107500000,5,5,5,4,5,5,4,6,4,5,6,5,4,3,5
9_107500001_108000000,5,5,5,4,4,5,4,6,4,5,6,5,4,3,5
9_109000001_109500000,5,5,5,4,4,5,4,6,4,5,6,5,4,3,5
9_109500001_110000000,5,5,5,4,4,5,4,6,4,5,6,5,4,3,5
9_110000001_110500000,5,5,5,4,4,5,4,6,4,5,6,5,4,3,5
9_110500001_111000000,5,5,5,4,4,5,4,6,4,5,6,5,4,3,5
9_111000001_111500000,5,5,5,4,4,5,4,6,4,5,6,5,4,3,5
9_111500001_112000000,5,5,5,4,4,5,4,6,4,5,6,5,4,3,5
9_112000001_112500000,5,5,5,4,4,5,4,6,4,5,6,5,4,3,5
9_112500001_113000000,5,5,5,4,4,5,4,6,4,5,6,5,4,3,5
9_114000001_114500000,6,5,5,4,4,5,4,6,4,5,6,5,4,3,5
9_114500001_115000000,6,5,5,4,4,5,4,6,4,5,6,5,4,3,5
9_115000001_115500000,6,5,5,4,4,5,4,6,4,5,6,5,4,3,5
9_116000001_116500000,6,5,5,4,4,5,4,6,4,5,6,5,4,3,5
9_116500001_117000000,6,5,5,4,4,5,4,6,4,5,6,5,4,3,5
9_117000001_117500000,6,5,5,4,4,5,4,6,4,5,6,5,4,3,5
9_117500001_118000000,6,5,5,4,4,5,4,6,4,5,6,5,4,3,5
9_118000001_118500000,7,5,5,4,4,5,4,6,4,5,6,5,4,3,5
9_118500001_119000000,7,5,5,4,4,5,4,6,4,5,6,5,4,3,5
9_119000001_119500000,7,5,5,4,4,5,4,6,4,5,6,5,4,3,5
9_119500001_120000000,7,5,5,4,4,5,4,6,4,5,6,5,4,3,5
9_120000001_120500000,7,5,5,4,4,5,4,6,4,5,6,5,4,3,5
9_120500001_121000000,7,5,5,4,4,5,4,6,4,5,6,5,4,3,5
9_121000001_121500000,7,5,5,4,4,5,4,6,4,5,6,5,4,3,5
9_121500001_122000000,7,5,5,4,4,5,4,6,4,5,6,5,4,3,5
9_122000001_122500000,7,5,5,4,4,5,4,6,4,5,6,5,4,3,5
9_122500001_123000000,6,5,5,4,4,5,4,6,4,5,6,5,4,3,5
9_123000001_123500000,6,5,5,4,4,5,4,6,4,5,6,5,4,3,5
9_123500001_124000000,6,5,5,4,4,5,4,6,4,5,6,5,4,3,5
9_124000001_124500000,6,5,5,4,4,5,4,6,4,5,6,5,4,3,5
9_124500001_125000000,6,5,5,4,4,5,4,6,4,5,6,5,4,3,5
9_125000001_125500000,6,5,5,4,4,5,4,6,4,5,6,5,4,3,5
9_125500001_126000000,6,5,5,4,4,5,4,6,4,5,6,5,4,3,5
9_126000001_126500000,6,5,5,4,4,5,4,6,4,5,6,5,4,3,5
9_126500001_127000000,6,5,5,4,4,5,4,6,4,5,6,5,4,3,5
9_127000001_127500000,6,5,5,4,4,5,4,6,4,5,6,5,4,3,5
9_127500001_128000000,6,5,5,4,4,5,4,6,4,5,6,5,4,3,5
9_128000001_128500000,6,5,5,4,3,5,3,6,4,5,6,5,4,3,5
9_128500001_129000000,6,5,5,4,3,5,3,6,4,5,6,5,4,3,5
9_129000001_129500000,6,5,5,4,3,5,3,6,4,5,6,5,4,3,5
9_129500001_130000000,6,5,5,4,3,5,3,6,4,5,6,5,4,3,5
9_130000001_130500000,6,5,5,4,3,5,3,6,4,5,6,5,4,3,5
9_130500001_131000000,6,4,5,4,3,5,3,6,4,5,6,5,4,3,5
9_131000001_131500000,6,4,5,4,3,5,3,6,4,5,6,5,4,3,5
9_131500001_132000000,6,4,4,4,3,5,3,6,4,5,6,5,4,3,5
9_132000001_132500000,6,4,4,4,3,5,3,6,4,5,6,5,4,3,5
9_132500001_133000000,6,4,4,4,3,5,3,6,4,5,6,5,4,3,5
9_133500001_134000000,6,4,4,4,3,5,3,6,4,5,6,5,4,3,5
9_134000001_134500000,6,4,4,4,3,5,3,6,4,5,6,5,4,3,5
9_134500001_135000000,6,5,4,4,3,5,3,6,4,5,6,5,4,3,5
9_135000001_135500000,6,5,4,4,3,5,3,6,4,5,6,5,4,3,5
9_135500001_136000000,6,5,4,4,3,5,3,6,4,5,6,5,4,3,5
9_137500001_138000000,6,5,4,4,4,5,4,6,4,5,6,5,4,3,5
9_138000001_138500000,6,5,4,4,4,5,4,6,4,5,6,5,4,3,5
9_139500001_140000000,11,8,8,9,9,10,7,10,11,9,9,11,8,4,10
9_140000001_140500000,11,8,8,9,9,10,7,10,11,9,9,11,8,4,10
9_140500001_141000000,11,8,8,9,9,10,7,10,11,9,9,11,8,4,10
10_500001_1000000,10,11,11,10,10,10,11,10,10,11,11,10,11,8,11
10_1500001_2000000,10,11,11,10,10,10,11,10,10,11,11,10,11,8,11
10_2000001_2500000,10,11,11,10,10,10,11,10,10,11,11,10,11,8,11
10_2500001_3000000,10,11,11,10,10,10,11,10,10,11,11,10,11,8,11
10_3000001_3500000,10,11,11,10,10,10,11,10,10,11,11,10,11,8,11
10_3500001_4000000,10,11,11,10,10,10,11,10,10,11,11,10,11,8,11
10_4000001_4500000,10,11,11,10,10,10,11,10,10,11,11,10,11,8,11
10_4500001_5000000,10,11,11,10,10,10,11,10,10,11,11,10,11,8,11
10_5500001_6000000,10,11,11,10,10,10,11,10,10,11,11,10,11,8,11
10_7500001_8000000,10,11,11,10,10,10,11,10,10,11,11,10,11,8,11
10_8000001_8500000,7,7,8,8,7,6,7,8,8,8,8,6,8,5,8
10_8500001_9000000,7,7,8,8,7,6,7,8,8,8,8,6,8,5,8
10_9000001_9500000,7,7,8,8,7,6,7,8,8,8,8,6,8,5,8
10_9500001_10000000,7,7,8,8,7,6,7,8,8,8,8,6,8,5,8
10_10000001_10500000,7,7,8,8,7,6,7,8,8,8,8,6,8,5,8
10_11000001_11500000,7,7,8,8,7,6,7,8,8,8,8,6,8,5,8
10_11500001_12000000,7,7,8,8,7,6,7,8,8,8,8,6,8,4,8
10_12000001_12500000,7,7,8,8,7,6,7,8,8,8,8,6,8,4,8
10_12500001_13000000,7,7,8,8,7,6,7,8,8,8,8,6,8,4,8
10_13000001_13500000,7,7,8,8,7,6,7,8,8,8,8,6,8,4,8
10_13500001_14000000,7,7,8,8,7,6,7,8,8,8,8,6,8,4,8
10_14000001_14500000,7,7,8,8,7,6,7,8,8,8,8,6,8,4,8
10_14500001_15000000,7,7,10,8,7,7,7,8,8,8,8,6,8,6,8
10_15000001_15500000,8,7,10,8,9,7,7,8,8,8,8,6,8,6,10
10_16000001_16500000,8,7,10,10,9,7,11,10,10,8,10,7,10,6,10
10_16500001_17000000,8,7,10,10,9,7,11,10,10,8,10,7,10,6,10
10_17000001_17500000,8,7,10,10,9,7,11,10,10,8,10,7,10,6,10
10_18500001_19000000,8,7,10,10,9,7,11,10,10,8,10,7,10,6,10
10_19500001_20000000,8,7,10,10,9,7,11,10,10,8,10,7,10,6,10
10_20000001_20500000,8,7,10,10,9,7,11,10,10,8,10,7,10,6,10
10_20500001_21000000,8,7,10,10,9,7,11,10,10,8,10,7,10,6,10
10_21000001_21500000,8,7,8,10,9,7,8,10,10,8,10,7,7,5,8
10_21500001_22000000,6,6,8,8,7,7,8,8,8,8,8,6,7,5,8
10_22000001_22500000,6,6,8,8,7,7,8,8,8,8,8,6,7,5,8
10_22500001_23000000,6,6,8,8,7,7,8,8,8,8,8,6,7,5,8
10_23000001_23500000,6,6,8,8,7,7,8,8,8,8,8,6,7,5,8
10_23500001_24000000,6,6,8,8,7,7,8,8,8,8,8,6,7,5,8
10_24000001_24500000,6,6,8,8,7,7,8,8,8,7,8,6,7,5,8
10_24500001_25000000,6,6,8,8,7,7,8,8,8,7,8,6,7,5,8
10_25000001_25500000,6,6,8,8,7,7,8,8,8,7,8,6,7,5,8
10_26000001_26500000,6,6,8,8,7,7,8,8,8,7,8,6,7,5,8
10_26500001_27000000,6,6,8,8,7,7,8,8,8,7,8,6,7,5,8
10_27000001_27500000,6,6,8,7,7,7,8,8,8,7,8,6,7,5,8
10_27500001_28000000,6,6,8,7,7,7,8,8,8,7,8,6,7,5,8
10_28000001_28500000,6,6,8,7,7,7,8,8,8,7,8,6,7,5,8
10_28500001_29000000,6,6,8,7,7,7,8,8,8,7,8,6,7,5,8
10_29000001_29500000,6,6,8,7,7,7,8,8,8,7,8,6,7,5,8
10_29500001_30000000,6,6,8,7,7,7,8,8,8,7,8,6,7,5,8
10_30000001_30500000,6,6,8,7,7,7,8,8,8,7,8,6,7,5,8
10_30500001_31000000,6,6,8,7,7,7,8,8,8,7,8,6,7,5,8
10_31000001_31500000,7,6,8,7,7,7,8,8,8,7,8,6,7,5,8
10_32000001_32500000,7,6,8,8,7,7,8,8,8,7,8,6,7,5,8
10_32500001_33000000,7,6,8,8,7,7,8,8,8,7,8,6,7,5,8
10_33000001_33500000,7,6,8,8,7,7,8,8,8,7,8,6,7,5,8
10_33500001_34000000,7,6,8,8,7,7,8,8,8,7,8,6,7,5,8
10_34000001_34500000,7,6,8,8,7,7,8,8,8,7,8,6,7,5,8
10_34500001_35000000,7,6,8,8,7,6,8,8,8,7,8,6,7,5,8
10_35000001_35500000,7,6,8,8,7,6,8,8,8,7,8,6,7,5,8
10_35500001_36000000,7,6,8,8,7,6,8,8,8,7,8,6,7,5,8
10_36000001_36500000,7,6,8,8,7,6,8,8,8,7,8,6,7,5,8
10_36500001_37000000,7,6,8,8,7,6,8,8,8,7,8,6,7,5,8
10_37500001_38000000,7,6,8,8,7,6,8,8,8,7,8,5,7,5,8
10_38000001_38500000,7,6,8,8,7,6,8,8,8,7,8,5,7,5,8
10_43000001_43500000,6,6,6,6,5,6,6,6,6,5,6,5,6,4,6
10_43500001_44000000,6,6,6,6,5,6,6,6,6,5,6,5,6,4,6
10_44000001_44500000,6,6,6,6,5,6,6,6,6,5,6,5,6,4,6
10_45000001_45500000,6,6,6,6,5,6,6,6,6,5,6,5,6,4,6
10_45500001_46000000,6,6,6,6,5,6,6,6,6,5,6,5,6,4,6
10_49500001_50000000,6,6,6,6,5,6,6,6,6,5,6,5,6,4,6
10_50000001_50500000,6,6,6,6,5,6,6,6,6,5,6,5,6,4,6
10_50500001_51000000,6,6,6,6,5,6,6,6,6,5,6,5,6,4,6
10_52500001_53000000,6,6,11,9,5,6,11,6,6,9,10,9,6,4,6
10_53000001_53500000,9,10,11,9,9,10,11,10,9,9,10,9,9,5,9
10_54000001_54500000,9,10,11,9,9,10,11,10,9,9,10,9,9,5,9
10_54500001_55000000,9,10,11,9,9,10,11,10,9,9,10,9,9,5,9
10_55000001_55500000,9,9,11,9,9,10,11,10,9,9,10,9,9,5,9
10_55500001_56000000,9,9,11,9,9,10,11,10,9,9,10,9,9,5,9
10_56000001_56500000,9,9,11,9,9,10,11,10,9,9,10,9,9,5,9
10_56500001_57000000,9,9,11,9,9,10,11,10,9,9,10,9,9,5,9
10_57500001_58000000,9,9,11,9,9,10,11,10,9,9,10,9,9,5,9
10_58000001_58500000,9,9,11,10,9,10,11,10,9,9,10,9,9,5,9
10_58500001_59000000,9,9,11,10,9,10,11,10,9,9,10,9,9,5,9
10_59000001_59500000,9,9,11,10,9,10,11,10,9,9,10,9,9,5,9
10_59500001_60000000,9,9,11,10,9,10,11,10,9,9,10,9,9,5,9
10_60000001_60500000,9,9,11,10,9,10,11,10,9,9,10,9,9,5,9
10_60500001_61000000,11,9,11,10,9,10,11,10,9,9,10,9,9,5,9
10_61000001_61500000,11,9,11,10,9,10,9,10,9,9,10,9,9,5,9
10_61500001_62000000,11,9,11,8,9,10,9,10,9,9,10,9,9,5,9
10_62000001_62500000,11,9,11,8,9,10,9,10,9,9,10,9,9,5,9
10_62500001_63000000,11,9,11,8,9,10,9,10,9,9,10,9,9,5,9
10_63000001_63500000,11,9,11,8,9,10,9,10,9,9,10,9,9,5,9
10_63500001_64000000,11,9,11,8,9,10,9,10,9,9,10,9,9,5,9
10_64500001_65000000,11,9,11,8,9,10,9,10,9,9,10,9,9,5,9
10_65000001_65500000,11,9,11,8,9,10,9,10,9,9,10,9,9,5,9
10_65500001_66000000,11,9,11,8,9,10,9,10,9,9,10,9,9,5,9
10_66000001_66500000,11,9,11,8,9,10,9,10,9,9,10,9,9,5,9
10_66500001_67000000,11,9,11,8,9,10,9,10,9,9,10,9,9,5,9
10_67000001_67500000,11,9,11,8,9,10,9,10,9,9,10,9,9,5,9
10_67500001_68000000,11,9,11,8,9,10,9,10,9,9,10,9,9,5,9
10_68000001_68500000,11,9,11,10,9,10,9,10,9,9,10,9,9,5,9
10_68500001_69000000,11,9,11,10,9,10,9,10,9,9,10,9,9,5,9
10_69500001_70000000,11,4,4,4,4,5,4,5,9,4,5,5,5,5,5
10_70000001_70500000,6,4,4,4,4,5,4,5,4,4,5,5,5,3,5
10_70500001_71000000,6,4,4,4,4,5,4,5,4,4,5,5,5,3,5
10_71000001_71500000,6,4,4,4,4,5,4,5,4,4,5,5,5,3,5
10_71500001_72000000,4,3,4,4,4,4,3,4,4,4,4,3,4,3,5
10_72000001_72500000,4,3,4,4,4,4,3,4,4,4,4,3,4,3,5
10_72500001_73000000,4,3,4,4,4,4,3,4,4,3,4,3,4,3,5
10_73000001_73500000,4,3,4,4,4,4,3,4,4,3,4,3,4,3,4
10_73500001_74000000,4,3,4,4,4,4,3,4,4,3,4,3,4,3,4
10_74000001_74500000,4,3,4,4,4,4,3,4,4,3,4,3,4,3,4
10_74500001_75000000,4,3,4,4,4,4,3,4,4,3,4,3,4,3,4
10_75500001_76000000,4,3,4,4,4,4,3,4,4,3,4,3,4,3,4
10_76000001_76500000,4,3,4,4,4,4,3,4,4,3,4,3,4,3,4
10_76500001_77000000,4,3,4,4,4,4,3,4,4,3,4,3,4,3,4
10_77000001_77500000,4,3,4,4,4,4,3,4,4,3,4,3,4,3,4
10_77500001_78000000,4,3,4,4,4,4,3,4,4,3,4,3,4,3,4
10_78000001_78500000,4,3,4,4,4,4,3,4,4,3,4,3,4,3,4
10_78500001_79000000,4,3,4,4,4,4,3,4,4,3,4,3,4,3,4
10_79000001_79500000,4,3,4,4,4,4,3,4,4,3,4,3,4,3,4
10_80000001_80500000,4,3,4,4,4,4,3,4,4,3,4,3,4,3,4
10_80500001_81000000,4,3,4,4,4,4,3,4,4,3,4,3,4,3,4
10_82000001_82500000,4,3,4,4,4,4,3,4,4,3,4,3,4,3,4
10_82500001_83000000,4,3,4,4,4,4,3,4,4,3,4,3,4,3,4
10_83000001_83500000,4,3,4,4,4,4,3,4,4,3,4,3,4,3,4
10_83500001_84000000,4,3,4,4,4,4,3,4,4,3,4,3,4,3,4
10_84000001_84500000,4,3,4,4,4,4,3,4,4,3,4,3,4,3,4
10_84500001_85000000,4,3,4,4,4,4,3,4,4,3,4,3,4,3,4
10_85000001_85500000,4,3,4,4,4,4,3,4,4,3,4,3,4,3,4
10_85500001_86000000,4,3,4,4,4,4,3,4,4,3,4,3,4,3,4
10_86000001_86500000,4,3,4,4,4,4,3,4,4,3,4,3,4,3,4
10_87500001_88000000,4,3,4,4,4,4,3,4,4,3,4,3,4,3,4
10_88000001_88500000,4,3,4,4,4,4,3,4,4,3,4,3,4,3,4
10_89500001_90000000,4,3,4,4,4,4,3,4,4,3,4,3,4,3,4
10_90000001_90500000,4,3,4,4,4,4,3,4,4,3,4,3,4,3,4
10_90500001_91000000,4,3,4,4,4,4,3,4,4,3,4,3,4,3,4
10_91000001_91500000,4,3,4,4,4,4,3,4,4,3,4,3,4,3,4
10_91500001_92000000,4,3,4,4,4,4,3,4,4,3,4,3,4,3,4
10_92000001_92500000,4,3,4,4,4,4,3,4,4,3,4,3,4,3,4
10_92500001_93000000,4,3,4,4,4,4,3,4,4,3,4,3,4,3,4
10_93500001_94000000,4,3,4,4,4,4,3,4,4,3,4,3,4,3,4
10_94000001_94500000,4,3,4,4,3,4,3,4,4,3,4,3,4,3,4
10_94500001_95000000,4,3,4,4,3,4,3,4,4,3,4,3,4,3,4
10_95000001_95500000,4,3,4,4,3,4,3,4,4,3,4,3,4,3,4
10_95500001_96000000,4,3,4,4,3,4,3,4,4,3,4,3,4,3,4
10_96000001_96500000,4,3,4,4,3,4,3,4,4,3,4,3,4,3,4
10_97000001_97500000,2,1,2,2,3,2,1,2,2,1,2,1,2,1,2
10_97500001_98000000,2,1,2,2,3,2,1,2,2,1,2,1,2,1,2
10_98000001_98500000,2,1,2,2,3,2,1,2,2,1,2,1,2,1,2
10_98500001_99000000,2,1,2,2,3,2,1,2,2,1,2,1,2,1,2
10_99000001_99500000,2,1,2,2,3,2,1,2,2,1,2,1,2,1,2
10_99500001_100000000,2,1,2,2,3,2,1,2,4,1,2,1,2,1,2
10_100000001_100500000,6,4,4,4,3,4,4,4,4,4,4,4,4,3,4
10_101000001_101500000,6,4,4,4,3,4,4,4,4,4,4,4,4,3,4
10_102000001_102500000,6,4,4,4,3,4,4,4,4,4,4,4,4,3,4
10_102500001_103000000,6,4,4,4,3,4,4,4,4,4,4,4,4,3,4
10_103000001_103500000,6,4,4,4,3,4,4,4,4,4,4,4,4,3,4
10_103500001_104000000,6,4,4,4,3,4,4,4,4,4,4,4,4,3,4
10_104000001_104500000,6,4,4,4,3,4,4,4,4,4,4,4,4,3,4
10_104500001_105000000,6,4,4,4,3,4,4,4,4,4,4,4,4,3,4
10_105000001_105500000,6,4,4,4,3,4,4,4,4,4,4,4,4,3,4
10_105500001_106000000,6,4,4,4,3,4,4,4,4,4,4,4,4,3,4
10_106000001_106500000,6,4,4,4,3,4,4,4,4,4,4,4,4,3,4
10_106500001_107000000,6,4,4,4,3,4,4,4,4,4,4,4,4,3,4
10_108000001_108500000,6,4,4,4,3,4,4,4,4,4,4,4,4,3,4
10_108500001_109000000,6,4,4,4,3,4,4,4,4,4,4,4,4,3,4
10_109000001_109500000,6,4,4,4,3,4,4,4,4,4,4,4,4,3,4
10_109500001_110000000,6,4,4,4,3,4,4,4,4,4,4,4,4,3,4
10_110500001_111000000,6,4,4,4,3,4,4,4,4,4,4,4,4,3,4
10_111000001_111500000,6,4,4,4,3,4,4,4,4,4,4,4,4,3,4
10_112000001_112500000,6,4,4,4,3,4,4,4,4,4,4,4,3,3,4
